LAT,LONG,NAME
32.5043081,-84.9557649,Rosemont School
34.4986982,-84.9554989,Calhoun Middle School
32.3637576,-84.95493,Edward White School
32.5273628,-84.954654,Britt David Elementary School
34.2364836,-84.9535545,Kingston School
32.4562542,-84.9535422,Radcliff School
33.4701133,-84.9513291,Rutherwood School (historical)
34.5045313,-84.9507764,North Georgia Seminary (historical)
32.4168113,-84.9502083,South Columbus School
32.4145891,-84.9499305,Eddy Junior High School
33.7627485,-84.9497546,Villa Rica Middle School
32.4273664,-84.9490973,Our Lady of Lourdes School
33.2326197,-84.9488263,Corinth Academy (historical)
32.4926418,-84.9488203,Clubview Elementary School
34.9609098,-84.9485566,Cohutta Consolidated School
34.5070313,-84.9482764,Calhoun Academy (historical)
34.7756355,-84.9482777,Roan Street School
32.4440325,-84.9482641,Winterfield Elementary School
32.9609602,-84.9479906,Rosemont School
32.4979194,-84.9479871,Hardaway High School
34.5792517,-84.9468877,Resaca School (historical)
32.3851457,-84.9465968,Custer Terrace School
32.4918085,-84.9465981,Richards Junior High School
32.4720869,-84.94632,Rigdon Road School
32.460143,-84.9460421,Carver Elementary School
34.8309122,-84.9457779,Pleasant Grove School
33.4159481,-84.9457727,Homewood School (historical)
33.7278853,-84.9454978,Villa Rica High School
32.4237554,-84.9454861,Baker Village School
32.4595874,-84.9446532,Carver High School
32.4551432,-84.9438198,Tillinghurst Elementary School
32.1801525,-84.9438168,Orletta School (historical)
34.8964666,-84.9430006,Varnell School
33.6785284,-84.9429587,Ithica Elementary School
32.5015303,-84.9415981,Columbus College
34.8623006,-84.9413336,North Whitfield High School
31.3743422,-84.9413145,Early County High School
33.3451167,-84.9410495,Dents School (historical)
31.1455,-84.9409,Springfield School (historical)
31.3760087,-84.9407588,Early County Middle School
34.3708779,-84.9403388,Adairsville Elementary School
32.4304218,-84.9388194,Muscogee Elementary School
34.3689793,-84.9385621,Adairsville Middle School
33.6921267,-84.9383839,Bay Springs Middle School
34.3684196,-84.9382789,Adairsville Middle School
34.3684243,-84.9377205,Adairsville Middle School
34.3721,-84.9372,Living Way Christian
32.4037561,-84.9368745,William H Spencer High School
34.5103646,-84.9366094,Eastside Elementary School
